sample,total_count,population,count,percentage
sample00000,93214,b_cell,10908,11.7021
sample00000,93214,cd4_t_cell,20491,21.9827
sample00000,93214,cd8_t_cell,24440,26.2192
sample00000,93214,monocyte,23511,25.2226
sample00000,93214,nk_cell,13864,14.8733
sample00001,100824,b_cell,6777,6.7216
sample00001,100824,cd4_t_cell,33459,33.1856
sample00001,100824,cd8_t_cell,19407,19.2484
sample00001,100824,monocyte,23011,22.8229
sample00001,100824,nk_cell,18170,18.0215
sample00002,92822,b_cell,9794,10.5514
sample00002,92822,cd4_t_cell,24274,26.1511
sample00002,92822,cd8_t_cell,22940,24.714
sample00002,92822,monocyte,18332,19.7496
sample00002,92822,nk_cell,17482,18.8339
sample00003,93160,b_cell,10081,10.8212
sample00003,93160,cd4_t_cell,36157,38.8117
sample00003,93160,cd8_t_cell,20271,21.7593
sample00003,93160,monocyte,12610,13.5359
sample00003,93160,nk_cell,14041,15.0719
sample00004,107903,b_cell,4372,4.0518
sample00004,107903,cd4_t_cell,38293,35.4884
sample00004,107903,cd8_t_cell,33778,31.304
sample00004,107903,monocyte,14933,13.8393
sample00004,107903,nk_cell,16527,15.3165
sample00005,105359,b_cell,15431,14.6461
sample00005,105359,cd4_t_cell,30805,29.2381
sample00005,105359,cd8_t_cell,31940,30.3154
sample00005,105359,monocyte,15779,14.9764
sample00005,105359,nk_cell,11404,10.8239
sample00006,99774,b_cell,5897,5.9104
sample00006,99774,cd4_t_cell,28319,28.3831
sample00006,99774,cd8_t_cell,31296,31.3669
sample00006,99774,monocyte,21606,21.6549
sample00006,99774,nk_cell,12656,12.6847
sample00007,98424,b_cell,10403,10.5696
sample00007,98424,cd4_t_cell,33870,34.4123
sample00007,98424,cd8_t_cell,13504,13.7202
sample00007,98424,monocyte,18031,18.3197
sample00007,98424,nk_cell,22616,22.9781
sample00008,90353,b_cell,8829,9.7717
sample00008,90353,cd4_t_cell,21307,23.582
sample00008,90353,cd8_t_cell,26215,29.014
sample00008,90353,monocyte,16378,18.1267
sample00008,90353,nk_cell,17624,19.5057
sample00009,95821,b_cell,7650,7.9836
sample00009,95821,cd4_t_cell,21097,22.0171
sample00009,95821,cd8_t_cell,33334,34.7878
sample00009,95821,monocyte,15676,16.3597
